ID_CLIENTE,TOTAL_RECARGA,TOTAL_TRANSACCION_RECARGA,PRODUCTO_PRINCIPAL,FRECUENCY,MONETARY,RECENCY,EDAD,DIAS_CON,FLG_FELICIDAD
1942232,65.0,3,3,4,5,1,19,177,0
1331151,2688.0,49,4,3,3,1,27,317,1
2401258,300.0,1,3,5,4,1,32,0,0
2135652,35.0,2,3,1,5,1,19,86,1
1351045,580.0,23,4,2,4,1,44,1163,1
2385108,15.0,1,6,5,5,1,42,1,0
1361402,1330.0,36,4,2,3,1,21,367,1
1906350,100.0,1,9,5,5,1,53,115,1
1629640,40.0,1,4,5,5,1,63,305,1
2369799,84.0,4,4,3,4,1,19,117,1
1824931,20.0,1,7,4,5,1,26,255,0
2391332,300.0,1,3,5,4,1,23,5,0
1909109,85.0,3,3,4,5,1,21,148,0
1348913,1412.0,40,4,3,4,1,38,400,1
580068,50.0,1,1,4,5,1,41,325,1
1226931,20.0,1,3,4,5,1,29,304,1
598817,210.0,7,6,1,3,1,34,362,1
1015128,60.0,2,3,2,4,1,36,1018,1
624507,6188.28,30,3,1,1,1,44,1520,1
1675778,100.0,1,4,5,5,1,39,277,1
1439485,20.0,1,4,5,5,1,42,585,0
659888,20.0,1,4,5,5,1,50,0,1
1775735,16.0,1,4,4,4,1,30,302,1
1287599,15.0,1,5,5,5,1,39,2,0
1806045,20.0,1,4,4,5,1,22,205,0
530527,230.0,2,3,3,3,1,75,1519,1
1672205,120.0,7,6,3,5,1,34,293,1
1644130,92.0,2,3,4,5,1,31,336,1
1470130,30.0,1,4,5,5,1,22,501,1
1446939,10367.0,41,3,1,1,1,45,599,1
1813918,20.0,1,3,3,5,1,33,243,1
630983,60.0,3,3,4,5,1,31,955,0
666409,62.0,4,5,3,5,1,28,1115,0
2377156,200.0,2,3,5,5,1,24,107,1
541545,139.0,4,1,4,5,1,42,827,1
1709104,101.0,1,9,5,5,1,52,244,1
1488237,250.0,8,3,3,5,1,25,126,1
1266731,150.0,3,1,3,5,1,37,606,0
1484529,65.0,4,3,2,5,1,28,559,1
2387896,90.0,2,3,2,5,1,29,44,1
2120780,15.0,1,3,3,5,1,27,111,1
1045922,1190.0,25,4,2,3,1,33,1031,1
1835412,40.0,1,4,4,5,1,23,168,1
2210038,15.0,1,6,5,5,1,29,22,0
1516864,30.0,1,1,3,5,1,39,308,0
1713864,870.0,7,3,2,3,1,35,329,1
1237162,268.0,7,3,2,3,1,42,682,1
2045705,424.0,9,3,3,4,1,30,59,1
997661,75.0,4,4,4,5,1,38,973,0
1856041,370.0,16,4,2,4,1,36,247,1
2131369,20.0,1,3,5,5,1,35,1,0
2171738,70.0,3,3,4,5,1,19,55,0
1592966,2585.0,20,3,2,3,1,24,441,1
1900786,500.0,3,4,2,3,1,50,153,1
2409870,120.0,6,4,3,2,1,35,81,1
1829793,20.0,1,3,5,5,1,29,185,0
800326,1188.0,11,3,1,2,1,28,1444,1
1806337,2805.0,25,4,3,2,1,26,279,1
1075017,60.0,3,6,2,5,1,50,1019,0
590544,3570.0,32,3,1,1,1,29,1146,0
1570020,30.0,1,3,5,5,1,41,357,1
1826173,278.0,3,4,4,4,1,19,248,1
973115,45407.0,33,3,1,1,1,23,1223,1
1134525,60.0,2,5,2,5,1,60,956,0
984017,40.0,2,3,4,5,1,42,874,0
1774413,15.0,1,5,4,5,1,30,207,0
1866854,101.0,5,4,4,5,1,56,232,1
2395178,30.0,1,6,5,5,1,21,0,0
2128227,3484.0,12,3,2,3,1,27,105,0
2005139,88.0,8,3,2,5,1,27,146,0
2371289,45.0,3,1,4,5,1,36,102,0
1548393,60.0,2,2,3,5,1,48,454,0
890868,8620.0,95,4,2,1,1,40,1535,1
991947,702.0,8,3,2,3,1,29,1156,0
1138461,40.0,1,1,5,5,1,27,899,1
924075,93.0,3,4,5,5,1,39,1252,1
2133887,22.0,1,3,4,5,1,22,53,1
1918599,154.0,1,3,2,4,1,31,206,1
1533177,100.0,3,3,4,5,1,22,488,1
73830,383.0,10,3,1,3,1,35,1569,1
995586,350.0,2,9,3,3,1,22,948,1
1692339,100.0,1,4,5,5,1,25,255,1
1559381,20.0,1,3,3,5,1,25,456,1
1103274,40.0,1,3,2,5,1,46,970,1
1992171,100.0,1,4,5,4,1,41,75,1
2127473,100.0,2,3,4,5,1,27,64,1
1128524,40.0,2,3,4,5,1,33,1313,0
2374238,60.0,3,4,5,5,1,27,26,1
1409255,160.0,4,4,4,4,1,36,135,1
724801,7566.08,48,3,1,1,1,23,1440,1
1430805,376.0,7,7,4,5,1,28,602,1
530186,11550.0,8,3,3,2,1,37,637,0
740489,20.0,1,1,5,5,1,41,1480,0
1375933,50.0,1,4,5,5,1,20,155,1
500395,60.0,4,1,4,5,1,29,162,0
1910915,101.0,1,9,5,5,1,38,119,1
2377022,20.0,1,9,5,5,1,65,16,1
1105611,92.0,6,3,2,5,1,25,949,1
1291275,20.0,1,3,2,5,1,30,760,1
1072874,1016.0,13,3,3,4,1,22,1161,1
841957,30.0,2,3,4,5,1,24,1325,1
992427,260.0,4,8,2,5,1,47,1341,1
1121926,90.0,3,3,2,5,1,40,955,0
940291,105.0,5,3,3,4,1,26,1216,0
630577,380.0,10,3,1,3,1,44,813,1
1671396,15.0,1,3,4,5,1,28,114,1
2139974,20.0,1,3,2,5,1,35,130,1
2382149,300.0,1,3,5,4,1,36,5,0
1659464,112.0,4,3,3,5,1,19,305,1
1082623,30.0,2,1,3,5,1,45,1115,0
1916910,30.0,1,3,2,5,1,46,204,1
2398003,300.0,1,3,5,4,1,22,5,0
1373436,880.0,16,3,2,3,1,30,664,1
973538,1011.0,14,4,2,3,1,34,775,1
553696,1378.0,43,4,1,3,1,35,88,1
699360,81.0,4,7,1,5,1,25,933,0
1561816,90.0,3,3,3,5,1,41,462,0
229163,5200.0,2,3,4,2,1,34,1276,1
1010895,30.0,1,3,1,5,1,34,1568,1
2406737,50.0,1,3,4,4,1,23,57,0
2389805,70.0,1,3,4,5,1,43,22,1
779122,741.0,30,3,1,3,1,47,1076,0
1377291,500.0,2,3,2,3,1,36,653,1
1529465,3070.0,19,4,4,2,1,23,511,1
1366005,423.0,17,3,2,4,1,35,105,1
1152971,16554.0,257,4,1,1,1,43,590,1
2138616,15.0,1,3,3,5,1,24,124,1
1070468,2160.0,8,1,3,3,1,51,1017,1
1161370,110.0,3,3,4,4,1,40,680,1
2375605,70.0,4,4,4,5,1,30,18,1
1665500,1400.0,14,4,3,4,1,29,209,1
2402873,20.0,1,6,5,5,1,31,0,1
1813409,40.0,2,2,4,5,1,26,222,0
2388507,45.0,3,1,5,5,1,35,73,0
1660926,300.0,3,3,2,3,1,42,124,1
1556339,210.0,7,6,4,4,1,31,383,1
2018126,40.0,2,3,2,4,1,29,150,1
2068646,64.0,2,3,3,4,1,47,138,0
617895,20.0,1,1,4,5,1,44,1565,0
662840,1090.0,36,3,2,3,1,30,833,0
2122092,260.0,4,3,1,4,1,44,135,1
2081579,129.0,6,3,2,4,1,20,143,1
629301,50.0,2,3,4,5,1,36,1565,1
2367605,150.0,1,3,5,5,1,24,3,1
600078,700.0,4,1,4,4,1,38,318,1
2401572,15.0,1,6,5,5,1,21,8,1
608342,170.0,4,3,2,4,1,32,1564,1
1907253,101.0,1,9,5,4,1,40,128,1
1618557,101.0,1,9,5,5,1,38,112,1
599075,420.0,14,3,3,4,1,27,320,1
1076087,60.0,3,3,2,5,1,51,984,0
798697,29910.0,28,4,3,1,1,34,141,1
2110991,35.0,2,3,4,5,1,23,69,1
1439597,1472.0,8,3,2,2,1,30,608,1
1642312,32.0,3,3,4,5,1,40,374,1
2402215,100.0,1,4,5,5,1,23,0,1
1515971,50.0,1,4,4,5,1,36,483,1
493223,20.0,1,3,3,5,1,42,1345,1
2401638,300.0,1,3,5,4,1,33,5,0
1190134,382.0,11,2,3,4,1,38,893,0
1570952,100.0,1,4,5,5,1,41,363,1
921113,2380.0,22,3,1,2,1,38,725,1
2125924,20.0,1,3,5,5,1,30,32,0
2083971,40.0,2,3,2,5,1,36,86,0
843058,40.0,1,6,3,5,1,56,234,0
1194163,45.0,3,7,2,5,1,49,359,0
634987,350.0,6,3,2,5,1,42,923,1
1536575,30.0,1,3,4,5,1,28,442,1
1176692,15.0,1,3,2,5,1,35,902,1
2062529,580.0,33,3,1,3,1,34,144,1
625143,11037.0,49,4,1,1,1,36,1156,1
665980,376.0,4,4,4,3,1,31,719,1
515500,16.0,1,6,5,5,1,33,145,0
1511494,100.0,1,4,5,5,1,77,468,1
1202537,2330.0,24,4,4,2,1,43,886,1
2397928,300.0,1,3,5,4,1,25,5,0
1627158,250.0,5,4,3,4,1,34,378,1
1936117,100.0,1,4,5,4,1,38,98,1
1310782,66.0,3,4,5,4,1,27,472,1
1218442,150.0,1,3,2,3,1,41,868,1
1326898,30.0,1,1,5,5,1,45,694,0
2401345,400.0,2,3,5,4,1,47,9,1
540365,80.0,2,1,5,5,1,37,111,1
1900841,310.0,14,3,2,4,1,32,218,1
2373902,15.0,1,3,3,5,1,25,93,1
2134272,100.0,1,9,5,4,1,23,42,0
2374566,165.0,4,3,3,5,1,41,71,1
1926942,3575.0,93,3,1,3,1,27,189,0
1736544,40.0,1,1,3,5,1,50,301,0
946146,300.0,10,4,3,5,1,36,37,1
1043800,747.0,16,9,3,4,1,26,1049,1
1417118,60.0,2,5,4,5,1,28,79,0
790148,75.0,4,3,2,5,1,24,556,0
1910495,101.0,1,9,5,5,1,39,114,1
627607,1530.0,5,3,1,1,1,33,946,1
2386788,300.0,1,3,5,4,1,25,9,0
811960,130.0,8,6,2,5,1,32,1429,1
2377823,18.0,1,9,5,4,1,19,12,1
1644132,30.0,1,3,2,4,1,34,391,1
2398025,300.0,1,9,5,5,1,36,14,0
2398144,20.0,1,3,4,5,1,21,24,1
2098803,165.0,8,3,3,5,1,26,62,0
1845820,72.0,3,4,3,4,1,25,82,1
2369656,90.0,4,4,5,5,1,44,74,1
1677718,20.0,1,3,3,5,1,20,188,1
695413,180.0,2,3,2,5,1,35,1534,1
2157759,2789.0,17,3,2,3,1,46,59,1
495812,140.0,7,5,1,5,1,31,126,1
886646,95.0,3,6,3,5,1,62,1355,0
2388464,300.0,1,3,5,4,1,50,3,0
2157443,20.0,1,3,4,5,1,24,126,0
2007121,350.0,3,3,4,4,1,26,152,0
846187,30.0,1,6,4,5,1,37,1350,1
788763,40.5,2,7,4,5,1,32,155,1
879086,2182.0,46,3,2,3,1,36,1293,1
920946,99.9,4,3,5,5,1,23,1191,1
888642,2315.0,17,4,3,2,1,47,1051,1
895340,30.0,1,3,1,5,1,37,510,1
1237917,15.0,1,6,5,5,1,24,286,0
2399499,50.0,1,6,5,5,1,29,0,0
1933928,100.0,1,4,5,4,1,42,109,1
1330677,1260.0,17,3,2,3,1,39,721,1
1883746,15.0,1,3,2,5,1,32,188,1
56303,9245.0,77,9,1,1,1,35,1568,1
2400481,20.0,1,8,3,5,1,53,68,0
2040213,115.0,5,3,2,5,1,45,142,1
962480,46.0,2,3,4,5,1,35,343,0
1901970,100.0,1,4,5,5,1,41,119,1
2410987,20.0,1,4,5,5,1,20,2,1
1101956,90.0,3,5,2,5,1,62,766,0
2412506,20.0,1,4,5,5,1,25,3,0
2074607,50.0,2,3,3,5,1,24,42,1
1117419,94.0,3,3,3,5,1,30,960,1
1800241,173.0,9,3,4,5,1,19,62,1
986087,40.0,2,3,3,5,1,44,979,0
1200608,4131.2,39,3,2,3,1,27,604,0
1282932,10.0,2,1,5,5,1,44,577,0
548576,40.0,2,3,2,4,1,25,539,1
586790,50.0,1,6,5,5,1,29,1542,0
2386738,300.0,1,3,5,4,1,30,9,0
1655159,5000.0,3,4,4,1,1,37,377,1
1206474,5877.0,43,3,1,2,1,45,878,1
2400954,30.0,1,6,5,5,1,28,0,0
843186,60.0,3,1,4,5,1,30,1399,0
1414697,40.0,2,3,4,5,1,41,647,1
2149596,15.0,2,9,4,5,1,27,28,1
1232475,207.0,22,4,2,4,1,31,821,0
504383,190.0,5,1,3,4,1,45,860,1
1110203,4923.0,43,4,1,1,1,62,971,1
2068137,15.0,1,3,4,5,1,32,135,1
814771,80.0,2,7,4,5,1,49,261,0
2402720,100.0,2,3,3,5,1,29,51,1
710364,15.0,1,9,4,5,1,24,1561,0
1958501,100.0,1,4,5,4,1,51,91,1
758244,418.73,17,4,1,3,1,34,1037,1
751522,1410.0,18,4,2,3,1,28,299,1
501855,60.0,3,3,2,5,1,47,1287,1
761727,200.0,3,5,4,5,1,36,1503,0
2111186,247.0,6,3,2,3,1,27,51,1
2395598,460.0,7,4,4,4,1,36,51,1
1663570,35.0,2,3,2,4,1,26,294,1
1645436,423.0,26,4,3,4,1,27,382,1
1623310,124.0,5,4,4,5,1,35,196,1
666158,120.0,3,1,3,5,1,38,763,0
694759,1193.0,14,3,3,3,1,27,1554,1
968237,50.0,1,1,5,5,1,32,1253,0
1577433,45.0,1,3,2,5,1,27,443,1
727718,9340.0,21,3,2,1,1,32,210,1
2132993,400.0,7,3,3,4,1,25,78,0
2155805,20.0,1,6,4,5,1,40,87,0
2404462,40.0,2,1,5,5,1,47,1,0
1105444,1273.0,33,9,1,3,1,37,1018,1
828022,40.0,2,7,5,5,1,30,971,0
2388278,300.0,1,3,5,4,1,23,1,1
2081866,100.0,1,3,5,4,1,56,50,1
723266,2710.0,24,3,2,2,1,32,1534,1
1169326,50.0,1,3,5,4,1,36,830,1
1891219,110.0,1,3,4,4,1,19,210,1
2374348,40.0,2,3,4,5,1,25,3,0
2055191,40.0,2,3,3,5,1,43,144,1
1232110,1802.0,37,4,2,2,1,38,764,1
430911,40.0,1,4,2,5,1,56,1557,1
1330715,30.0,1,6,5,5,1,33,638,0
767525,60.0,3,4,3,5,1,56,1499,1
2373149,15.0,1,6,3,5,1,38,14,1
2390832,300.0,1,3,5,4,1,22,5,0
2376456,1470.0,17,3,3,3,1,24,38,1
734218,110.0,5,4,3,5,1,34,1560,1
1359533,137.0,3,3,2,3,1,40,685,1
843306,3530.0,32,3,3,3,1,34,1228,1
1458034,50.0,1,3,4,5,1,58,490,1
909280,20.0,1,3,4,5,1,30,1032,0
2383060,84.0,1,4,5,5,1,31,0,1
2163817,30.0,2,3,5,5,1,38,18,0
835683,36.0,1,4,2,1,1,34,1354,1
1906275,101.0,1,9,5,4,1,36,117,1
2119032,150.0,3,3,3,4,1,31,136,1
1334495,900.0,9,3,1,3,1,29,717,1
1108280,300.0,10,5,1,4,1,35,819,0
746193,1320.0,17,6,4,4,1,36,1526,1
2015243,100.0,1,4,4,4,1,31,60,1
1664863,35.0,2,7,4,5,1,48,367,0
2045113,60.0,2,3,4,5,1,27,141,0
1531259,100.0,1,4,4,4,1,23,439,0
594318,273.0,8,3,1,3,1,35,1469,0
980912,20.0,1,3,3,5,1,23,850,1
1944355,101.0,1,9,5,4,1,23,104,1
1827420,30.0,1,1,4,5,1,30,162,0
2386314,15.0,1,6,5,5,1,20,0,1
1251167,30.0,1,8,5,5,1,29,721,0
1922543,260.0,14,3,2,5,1,21,136,1
2138529,40.0,1,4,5,5,1,29,50,1
612238,80.0,2,6,4,5,1,28,1213,1
964021,20.0,1,2,3,5,1,36,201,1
2393790,20.0,1,6,5,5,1,53,12,0
2152926,15.0,1,3,5,4,1,22,50,1
1685080,3000.0,2,3,1,1,1,44,325,1
1030872,20.0,1,4,5,5,1,37,1395,0
2409895,20.0,1,6,5,5,1,37,5,0
2016406,40.0,1,1,5,5,1,38,59,0
2068913,50.0,2,3,5,5,1,27,42,0
2412271,49.0,3,3,5,5,1,30,4,1
1395792,5777.0,20,4,3,2,1,39,639,1
1385435,42.0,2,3,3,5,1,38,654,1
1472500,480.0,2,4,5,3,1,28,561,1
985785,5315.0,51,4,1,1,1,59,1155,1
1960475,100.0,1,4,5,4,1,44,90,1
747624,100.0,1,4,5,5,1,32,1540,0
2370668,15.0,1,3,3,5,1,25,85,1
2381149,20.0,1,6,5,5,1,44,14,0
745985,30.0,1,6,5,5,1,25,0,1
1176328,20.0,1,1,4,5,1,34,100,0
1556238,15.0,1,3,5,5,1,31,28,1
703121,15.0,1,4,5,5,1,26,438,1
1972398,223.0,6,3,2,4,1,30,130,1
1657979,1620.0,33,3,1,4,1,30,379,1
474050,168.0,1,1,5,4,1,37,1112,0
1605312,225.0,14,3,2,4,1,36,295,0
879499,68.0,3,3,2,4,1,26,379,1
764223,221.0,7,3,1,2,1,40,1149,1
1438641,8372.0,92,3,2,2,1,35,607,1
1914890,100.0,1,4,5,4,1,33,121,1
1297648,60.0,3,1,3,5,1,38,617,0
790753,3590.0,23,3,2,2,1,49,628,0
2390987,300.0,1,3,5,4,1,25,8,0
2386088,40.0,2,4,4,5,1,24,41,1
1652973,50.0,1,3,5,5,1,25,3,1
1705154,300.0,1,3,5,4,1,29,226,0
2396345,60.0,2,1,5,5,1,23,33,0
1102838,60.67,3,3,4,5,1,24,586,1
2400561,48.0,2,3,5,5,1,25,6,0
808396,2526.0,37,9,1,2,1,32,1405,1
1265642,106.0,4,3,4,5,1,29,918,0
1402109,80.0,4,2,3,5,1,24,185,0
1571525,180.0,6,7,2,5,1,47,450,0
1526438,62.0,4,6,5,5,1,23,447,1
1903417,20.0,1,3,5,5,1,24,79,1
811376,500.0,9,3,1,3,1,31,1405,0
1130739,1407.0,37,4,2,3,1,48,952,1
2385150,20.0,1,6,5,5,1,31,0,0
1496627,60.0,3,3,3,3,1,33,551,1
1623464,20.0,1,6,5,5,1,21,0,0
2030670,80.0,4,6,3,5,1,35,144,0
1105187,50.0,2,4,5,5,1,37,928,1
2385640,351.0,16,3,1,4,1,19,104,1
2128859,540.0,12,4,3,3,1,42,128,1
2160529,65.0,4,5,3,5,1,27,122,0
1180348,90.0,2,3,2,5,1,53,880,1
2061774,50.0,3,3,3,4,1,28,120,1
1392018,400.0,3,3,5,4,1,24,80,0
2007278,50.0,1,3,5,4,1,36,39,0
2127586,20.0,1,3,5,5,1,39,58,0
2409317,20.0,1,6,5,5,1,19,33,1
2151207,101.0,1,3,5,4,1,22,36,1
1645997,60.0,3,4,4,5,1,58,11,1
1007480,45.0,2,3,3,5,1,31,978,1
1522293,810.0,12,4,3,4,1,26,521,1
2368346,30.0,1,5,4,5,1,43,117,0
1087480,30.0,2,3,4,5,1,22,139,1
1268973,70.0,3,7,4,5,1,32,777,0
1566821,20.0,1,4,5,5,1,32,369,0
2085655,15.0,1,3,4,5,1,24,138,0
2385866,100.0,1,4,5,5,1,42,0,1
908125,30.0,1,9,5,5,1,27,1188,1
1458959,150.0,2,4,5,5,1,27,587,1
1378862,140.0,4,1,3,5,1,48,666,0
1163089,1363.0,52,3,1,3,1,44,1562,1
593780,80.0,2,3,1,4,1,63,1443,1
1167713,15.0,1,3,4,5,1,26,909,0
591603,30.0,2,6,5,5,1,31,96,1
1566701,100.0,1,4,5,5,1,24,371,1
979164,20.0,1,3,3,5,1,29,469,1
698079,30.0,1,3,4,5,1,32,1544,1
1557725,690.0,35,7,1,4,1,30,468,1
802813,2706.0,27,3,1,2,1,35,1465,1
718458,30.0,1,1,5,5,1,44,286,0
654165,150.0,3,4,4,5,1,41,1498,1
1143642,222.0,6,3,2,4,1,40,1452,1
1940676,150.0,3,4,5,5,1,19,106,1
1045529,20.0,1,6,4,5,1,39,1387,0
1550595,50.0,2,4,5,5,1,45,232,1
1477946,20.0,1,4,5,5,1,26,464,1
1347420,1200.0,5,4,5,2,1,46,655,1
903797,15.0,1,7,5,5,1,28,1285,0
1931606,100.0,1,4,5,5,1,42,104,1
1263061,3250.0,17,3,1,1,1,46,797,0
719960,120.0,2,3,2,4,1,29,1481,1
2376682,20.0,1,9,5,5,1,64,16,1
2383211,20.0,1,6,5,5,1,20,0,0
2403232,100.0,1,4,5,5,1,20,0,1
1274026,580.0,9,3,2,4,1,21,770,1
2391851,20.0,1,6,5,5,1,32,0,0
2042340,60.0,2,3,2,5,1,22,149,1
1066584,110.0,3,3,2,5,1,47,1005,0
1336730,70.0,2,3,5,5,1,33,626,1
1981272,100.0,1,4,5,4,1,32,76,1
1244418,316.39,7,3,2,3,1,40,807,1
635628,15310.0,46,4,1,1,1,50,1040,1
2151769,37.0,2,3,2,5,1,25,123,1
738620,20.0,1,3,2,5,1,41,161,1
878767,40.0,1,6,5,5,1,35,1213,1
2257056,40.0,2,3,4,5,1,30,3,0
1578646,1196.0,20,4,3,3,1,34,445,1
1688684,210.0,5,3,3,5,1,28,101,1
2114643,70.0,2,3,3,5,1,38,129,0
777294,100.0,2,3,4,5,1,34,1338,1
2068642,50.0,1,3,2,4,1,35,112,0
2386501,20.0,1,3,5,5,1,23,36,0
1726678,30.0,1,4,5,5,1,32,323,0
1960956,5715.0,11,3,3,2,1,19,106,1
594238,1932.0,10,3,2,1,1,36,254,1
2381802,15.0,1,2,5,5,1,23,68,0
1554393,110.0,5,1,4,5,1,32,476,1
1614492,40.0,2,4,5,5,1,36,69,1
1047346,163.0,8,6,4,5,1,35,1019,1
1944593,101.0,1,9,5,4,1,28,104,1
1158908,100.0,4,6,5,5,1,27,933,1
2396095,795.0,15,9,5,4,1,22,87,1
1906190,90.0,4,6,5,5,1,33,159,1
1667727,100.0,1,4,5,5,1,35,278,1
1127816,100.0,5,3,1,5,1,64,969,1
641588,540.0,11,3,1,3,1,53,1473,1
1970662,35.0,2,3,4,5,1,42,126,0
933871,15.0,1,7,4,5,1,28,1162,1
536701,89.55,4,3,1,5,1,48,481,0
1711550,193.0,4,3,2,4,1,49,333,0
1425692,655.0,9,4,5,4,1,28,623,1
2386476,50.0,1,3,4,5,1,26,31,1
1925156,40.0,2,3,4,4,1,36,196,1
1071461,40.0,2,6,5,5,1,58,940,1
1402010,305.0,6,3,4,4,1,24,634,0
1218148,15.0,1,1,5,5,1,33,876,0
1166383,76.0,9,3,2,5,1,38,704,0
1772878,215.0,5,4,4,4,1,25,282,1
1926005,450.0,9,3,2,4,1,25,201,1
1131905,389.0,8,4,4,4,1,29,949,1
1647334,5928.0,107,6,2,2,1,41,387,1
1482156,30.0,1,3,4,5,1,50,554,0
1305400,200.0,2,3,3,4,1,35,703,0
1205821,15.0,1,3,5,5,1,65,879,1
1737409,20.0,1,3,1,5,1,41,319,1
1296633,347.0,17,3,1,4,1,26,741,1
1910766,550.0,4,2,5,4,1,44,206,0
1385297,15.0,1,1,4,5,1,36,651,1
1395861,2692.0,109,4,1,2,1,34,656,1
1987410,35.0,2,3,4,5,1,25,66,1
1759555,90.0,4,3,3,5,1,37,311,1
1023602,648.0,23,3,3,4,1,43,1114,1
1671905,66.0,3,4,4,5,1,24,155,0
2376789,20.0,1,3,4,5,1,54,25,1
